dayoftheyear,open,high,low,close,WLLDE
1936,390.70,393.52,390.39,392.79,386.69
1937,384.06,385.27,374.59,375.71,380.52
1938,377.02,378.68,373.82,377.15,376.11
1939,375.58,378.45,371.58,372.87,373.34
1940,368.66,370.68,366.71,370.02,371.60
1941,366.86,372.89,366.78,372.89,370.76
1942,369.54,370.56,365.84,368.61,367.77
1943,370.55,373.62,362.17,362.18,363.04
1944,361.40,363.05,358.39,359.14,358.43
1945,355.64,355.68,348.65,353.12,353.93
1946,351.64,355.29,348.40,349.63,350.85
1947,353.19,355.47,346.33,348.74,350.74
1948,349.69,357.30,347.99,355.60,351.46
1949,352.03,352.31,345.20,348.17,348.84
1950,347.22,351.16,342.65,342.79,347.51
1951,346.53,353.70,344.73,351.83,352.53
1952,357.39,362.77,351.80,362.74,358.96
1953,358.34,364.17,356.00,361.89,360.25
1954,360.48,363.46,357.66,358.16,356.32
1955,354.10,358.25,346.39,348.17,350.27
1956,349.29,349.53,343.26,345.51,346.01
1957,343.80,348.40,341.37,343.32,344.08
1958,343.74,345.32,341.94,342.19,344.81
1959,335.14,352.70,334.08,351.22,346.88
1960,353.70,355.34,342.57,343.22,347.71
1961,349.34,353.15,342.88,352.04,350.93
1962,360.01,360.32,352.71,356.17,353.88
1963,354.12,356.86,350.82,353.65,353.69
1964,353.20,357.65,349.92,350.68,354.16
1965,350.40,359.69,348.89,359.21,358.40
1966,360.74,364.74,358.07,363.60,363.55
1967,363.52,369.72,363.41,369.41,366.77
1968,366.24,371.96,365.98,366.62,366.95
1969,367.63,369.48,364.04,364.67,367.62
1970,364.56,373.82,364.38,373.34,370.18
1971,370.87,372.75,369.73,370.64,370.24
1972,374.42,374.66,367.84,369.02,366.85
1973,368.43,372.97,359.66,359.76,361.58
1974,356.50,359.12,353.93,356.06,359.02
1975,361.81,363.60,355.09,361.18,360.94
1976,362.49,365.23,360.40,364.64,363.77
1977,365.75,369.60,362.50,366.61,364.59
1978,364.62,365.78,358.55,359.05,366.70
1979,372.41,379.12,370.10,378.78,374.48
1980,379.65,383.26,377.75,382.45,379.88
1981,380.67,384.05,378.92,379.20,380.71
1982,384.98,386.10,378.59,382.43,380.80
1983,380.79,381.75,378.88,379.51,379.95
1984,374.72,379.03,374.42,378.35,379.22
1985,381.71,381.78,377.20,380.07,379.46
1986,378.74,379.87,376.83,378.69,380.52
