Datetime,Open,High,Low,Close
,QQQ,QQQ,QQQ,QQQ
2023-10-09 00:00:00,357.9,362.652,356.399,362.109
2023-10-10 00:00:00,362.445,366.771,361.941,364.114
2023-10-11 00:00:00,365.448,366.9,363.719,366.712
2023-10-12 00:00:00,367.216,369.202,363.037,365.438
2023-10-13 00:00:00,366.07,366.653,359.442,360.844
2023-10-16 00:00:00,362.168,365.981,362.02,364.924
2023-10-17 00:00:00,361.368,365.428,359.244,363.729
2023-10-18 00:00:00,361.23,363.442,357.624,358.958
2023-10-19 00:00:00,360.38,361.575,354.799,355.599
2023-10-20 00:00:00,355.095,355.668,350.067,350.294
2023-10-23 00:00:00,348.97,354.897,346.856,351.351
2023-10-24 00:00:00,353.169,355.54,351.47,354.769
2023-10-25 00:00:00,352.369,352.546,345.503,346.086
2023-10-26 00:00:00,344.881,345.819,338.193,339.487
2023-10-27 00:00:00,342.223,344.604,339.902,341.117
2023-10-30 00:00:00,343.606,346.283,342.243,344.96
2023-10-31 00:00:00,344.989,346.985,342.411,346.609
2023-11-01 00:00:00,347.449,353.188,347.35,352.625
2023-11-02 00:00:00,357.15,359.264,355.925,359.027
2023-11-03 00:00:00,360.321,364.539,360.094,363.245
2023-11-06 00:00:00,364.015,365.29,362.455,364.727
2023-11-07 00:00:00,365.774,369.044,364.569,368.174
2023-11-08 00:00:00,368.55,369.251,366.12,368.411
2023-11-09 00:00:00,369.103,370.249,365.082,365.576
2023-11-10 00:00:00,367.305,373.943,366.771,373.795
2023-11-13 00:00:00,372.215,373.686,370.683,372.629
2023-11-14 00:00:00,379.051,381.57,378.527,380.651
2023-11-15 00:00:00,382.548,383.041,379.574,380.937
2023-11-16 00:00:00,380.167,381.5,378.902,381.263
2023-11-17 00:00:00,380.532,382.37,379.624,381.352
2023-11-20 00:00:00,381.362,386.657,381.362,385.995
2023-11-21 00:00:00,384.286,384.503,382.004,383.753
2023-11-22 00:00:00,385.827,388.297,384.316,385.323
2023-11-24 00:00:00,384.918,385.511,383.782,384.78
2023-11-27 00:00:00,384.286,386.4,383.565,384.444
2023-11-28 00:00:00,383.693,386.035,383.338,385.452
2023-11-29 00:00:00,387.922,389.354,384.731,385.076
2023-11-30 00:00:00,385.343,385.808,381.135,384.108
2023-12-01 00:00:00,383.041,385.798,381.382,385.205
2023-12-04 00:00:00,381.402,381.905,378.013,381.629
2023-12-05 00:00:00,379.722,383.782,379.544,382.587
2023-12-06 00:00:00,385.531,385.63,380.029,380.374
2023-12-07 00:00:00,383.358,386.519,382.261,385.689
2023-12-08 00:00:00,383.95,387.852,383.763,387.408
2023-12-11 00:00:00,386.983,390.984,386.776,390.717
2023-12-12 00:00:00,390.757,393.947,389.621,393.829
2023-12-13 00:00:00,394.767,399.45,393.997,398.837
2023-12-14 00:00:00,400.062,401.366,395.479,398.492
2023-12-15 00:00:00,399.272,401.603,398.669,400.418
2023-12-18 00:00:00,400.812,403.841,400.485,402.94
2023-12-19 00:00:00,403.395,405.118,403.207,404.999
2023-12-20 00:00:00,404.197,406.296,398.802,398.981
2023-12-21 00:00:00,402.92,403.989,400.357,403.623
2023-12-22 00:00:00,404.84,405.801,402.346,404.227
2023-12-26 00:00:00,405.088,407.374,404.989,406.701
2023-12-27 00:00:00,406.985,407.817,406.123,407.529
2023-12-28 00:00:00,408.688,408.936,406.975,407.331
2023-12-29 00:00:00,407.311,407.668,403.647,405.568
2024-01-02 00:00:00,401.924,402.171,396.378,398.705
2024-01-03 00:00:00,396.071,397.131,394.051,394.486
2024-01-04 00:00:00,392.615,395.734,392.238,392.456
2024-01-05 00:00:00,392.624,395.704,391.525,392.922
2024-01-08 00:00:00,394.15,401.33,394.001,401.042
2024-01-09 00:00:00,398.032,402.766,397.834,401.835
2024-01-10 00:00:00,402.152,405.568,401.26,404.558
2024-01-11 00:00:00,405.836,407.232,400.339,405.4
2024-01-12 00:00:00,406.44,407.282,404.212,405.608
2024-01-16 00:00:00,404.37,407.153,402.904,405.568
2024-01-17 00:00:00,402.251,403.657,399.032,403.281
